,DATE,STAR,LIKE,REVIEW
30,2020-12-24,별표 5개 만점에 1개를 받았습니다.,1,"오픈뱅킹이고 나발이고 모바일otp나 지원해라. 코로나 시국에 토큰otp, 스마트폰otp 받자고 은행 방문해야겠냐??? 그리고hts는 뭘로 처만들었길래 거래터진 종목만 봤다하면 타 hts보다 cpu 두배로 처먹냐 대체"
31,2021-1-19,별표 5개 만점에 1개를 받았습니다.,1,신경좀써서만들어라 짜증나서 딴증권사로바꾼다
32,2021-1-4,별표 5개 만점에 1개를 받았습니다.,0,업데이트가 안됩니다 계속 대기중이라네요 어떻게해야 하나요
33,2020-12-14,별표 5개 만점에 1개를 받았습니다.,1,정말 app 담당자를 바꾸던지 정말 다른곳에 비해 엉망이네요
34,2020-12-8,별표 5개 만점에 1개를 받았습니다.,0,인터페이스 완전 불편함.
35,2021-1-30,별표 5개 만점에 1개를 받았습니다.,1,뭔놈에 보안토큰이 안됀다고 하루종일 로그인도못하게하냐 고객센터 전화하면 통화량이많아 통화가 하루종일 안된다는게 기업이 할짓이냐?
36,2020-9-23,별표 5개 만점에 1개를 받았습니다.,0,업뎃 이후 통신 인프라가 조금 떨어진 해외 접속 시도 시 와이파이 망이 아니면 데이터 다운 중 그대로 hang up 되어 접속 자체가 안됨. 트레이딩을 할 수가 없네. 다른 트레이딩 앱은 문제없이 잘되는데 완전 쓰레기 같은 앱!!!
37,2020-12-5,별표 5개 만점에 5개를 받았습니다.,0,빠른 반응에 만족합니다
38,2019-12-5,별표 5개 만점에 1개를 받았습니다.,1,"어플이 전체적으로 보기 불편합니다. 항목클릭하면 제 핸드폰이 그런건지는 모르겠는데 아래부분 화면 일부가 잘리고, 다시 이어지는 이상한 화면.... 클릭하면 화면 반응이 너무 느려서 계속 동그라만 돌아가고.... 어제부터는 이체도 안되고.... 다른 증권사들 대부분 안그런데 이체시 수수료가 붙네요.... 아...어플이 정말...별 하나도 아까워요!!! 다른 증권사 어플들은 글자가 커도 찾기 쉬운데, 글자도 작은데 첫 화면 설정도 구성이 엉성해요....아....어플 쓸때마다 짜증납니다!"
39,2019-1-28,별표 5개 만점에 4개를 받았습니다.,4,"위젯이 있어 좋습니다만, 글씨가 너무 작아요. 글씨를 키워 주시거나 조절할 수 있게 해주시고, 설정 및 업데이트 버튼도 좀 더 크게 해주세요. 연필같은 손까락과 독수리의 시력자가 아니어도 쓸수있게 부탁 드려요."
