,DATE,STAR,LIKE,REVIEW
25,2020-1-16,별표 5개 만점에 3개를 받았습니다.,2,어플에 들어가면 계속 로그아웃되었습니다라고 새로고침되고있습니다 다시 깔아도 똑같네요 왜그럴까요
26,2019-12-10,별표 5개 만점에 1개를 받았습니다.,0,밑에 메뉴 눌러지지도않고 계속 꺼지네요. 주식어플에서 이게 말이 됩니까.
27,2020-1-30,별표 5개 만점에 2개를 받았습니다.,5,잘 쓰다가 등록되어 있지 않은 계좌번호입니다 라고 메시지가 뜨면서 로그인이 안됩니다. 어떻게 해야 하나요
28,2020-9-13,별표 5개 만점에 2개를 받았습니다.,0,잘사용 하고 있지만 주식차트보다 멀티차트 클릭하면 다른 종목이 나와요 불편해요
29,2019-12-10,별표 5개 만점에 1개를 받았습니다.,1,앱 최악입니다. 업데이트해도 꺼지고 아래 메뉴도 안눌립니다 확인좀 제대로 해주세요
30,2020-6-11,별표 5개 만점에 1개를 받았습니다.,0,아이디만드려고하는데 약정을 다시확인하라고하는데 계속 해도 안되네요ㅜ 답답해죽겠어요
31,2020-1-31,별표 5개 만점에 1개를 받았습니다.,1,잘쓰다가 오늘갑자기 등록된 계좌가 아니라네요 짜증나게 이런날 갑자기 사용이 안돼다니 앱 똑바로 만드세요..
32,2020-7-10,별표 5개 만점에 3개를 받았습니다.,8,가격차트에서 240 누적 평균을 추가해주세요 타증권사 앱에는 있어서 상승하강지지등 경향성 파악에 도움이도는데 없으니 불편합니다.
33,2021-1-30,별표 5개 만점에 2개를 받았습니다.,0,새벽 3시40분 인데도 렉이..설치 안되네.
34,2020-8-27,별표 5개 만점에 1개를 받았습니다.,0,해외주가 실시간 업데이트가 안됨. 거의 반나절 지나야 제대로 반영되는듯.
35,2020-2-2,별표 5개 만점에 1개를 받았습니다.,2,공인인증 메리츠 어플만 왜 연동 조회 안되나요 휴대폰에 다른은행어플 조회 해서 연동 다했는데 시간날렸네
36,2020-8-19,별표 5개 만점에 1개를 받았습니다.,0,모바일 네트워크 상에서 버전처리 오류가 남
37,2019-3-5,별표 5개 만점에 5개를 받았습니다.,0,앱이ㅣ업데이트가 잡으며 잘되 않고 열리지 않음
38,2019-12-6,별표 5개 만점에 3개를 받았습니다.,0,사용편하고 알기쉽게 정렬되여있습다 감사합니다
39,2019-3-1,별표 5개 만점에 1개를 받았습니다.,1,업데이트 계속 대기중 설치도 잘안됨
