,DATE,STAR,LIKE,REVIEW
19,2021-3-12,별표 5개 만점에 3개를 받았습니다.,7,수년간 페이코 계속 써오고 앞으로도 쓸건데 앱 UI가 너무 난잡해요.. 원하는 기능 이랑 혜택 찾기 쉽지도 않고 너무 많은것들이 얽혀있어서 가독성이 떨어집니다. 대규모 개편이 필요해보여요
20,2021-2-24,별표 5개 만점에 1개를 받았습니다.,2,전자금융거래 이용약관읽고 동의했는데도 자꾸 다시 하라고 팝업창이 뜨면서 나갔다들어오고 앱을 다시 지우고 설치까지 했는데도 복구가 안됩니다. 오류인거 같은데 조속히 해결 부탁드립니다.
21,2021-4-4,별표 5개 만점에 1개를 받았습니다.,3,구매를 취소했는데 결제가 되더군요 환불요청합니다
22,2021-2-11,별표 5개 만점에 3개를 받았습니다.,1,페이코 삼성페이 포인트 잘쌓고있습니다! 다만 삼성페이만 사용했을때보다 실행하는데 더 시간이 드는게 치명적이에요.. 그래서 페이코 삼성페이가 빅스비 캡슐에 들어가거나 다른방법으로 최대한 삼성페이만 사용했을때만큼의 절차축소가 생기면 정말 너무 행복할 것 같습니다. 개선 부탁드립니다. 감사합니다.
23,2021-1-28,별표 5개 만점에 3개를 받았습니다.,6,예전에는 페이코포인트와 결제수단 함께 병행사용이되서 포인트를 알뜰하게 잘썼는데.. 어느순간부터 포인트결제는 포인트로만 결제할수있게 바꼈네요. 낭비되는포인트가 자잘자잘하게 많아지는 느낌. 이대로라면 다른걸로 갈아탈거아요
24,2021-3-20,별표 5개 만점에 1개를 받았습니다.,9,잘쓰고 있었고 친구한테도 편하다고 했는데 물건결제하니 사려는 곳 사이트에서 결제가 안됐는데 페이코에서 돈이 나갔음.. 첫날 전화했더니 확인후 연락준다고 하더니 연락 없어서 연락하니 전화안받음... 10통정도 했나? ㅋㅋ 친구폰으로 전화하니까 바로 받아서 돈받았어요..^^ 이건 무슨상황이였는지... 이제 쓰기가 겁나네요
25,2021-2-8,별표 5개 만점에 4개를 받았습니다.,3,페이코 다좋아요! 근데 페이코 포인트로는 정기결제가 안되나요? 구글플레이 빼고는 정기결제 하려면 신용카드나 체크카드를 등록해야하던데 포인트로도 정기결제가 되게 해주세요. 포인트가 없어지면 정기결제 안되니까 막으신거면 정기충전이나 자동충전 등록이 돼있는 계정으로만 결제가 되도 좋아요. 그러니까 포인트로 정기결제 하는거 제발 추가해주세요.
26,2021-1-27,별표 5개 만점에 2개를 받았습니다.,1,제로페이 상품권을 누르면 데이터를 불러오지 못했습니다 잠시 후 다시 시도해주세요 하면서 튕겨 나옵니다 그래서 상품권 충전되어 있는 걸 사용 못 하고 있습니다. 어플을 업데이트 해도 데이터를 다 지워도 문제가 해결이 되지 않네요
27,2021-2-5,별표 5개 만점에 1개를 받았습니다.,1,페이코 카드 결제는 되는데 뭐가 바뀐건지 포인트 결제가 되는곳이 거의 없네요 ㅋㅋ 환불시스템도 다른곳은 누르자 마자 되는데 여긴 뭐 3일 뒤에 줘서 돈도 묶여버리고 충전 리워드도 허접광고라서 몇번 넣어야지 주는거였고 payco가 아니라 faker였네 아 ㅋㅋ
28,2021-3-5,별표 5개 만점에 3개를 받았습니다.,1,"위젯으로 꺼내놓고, 결제시에는 비밀번호 누르라고 하잖아요? 아뮤리 맞게 눌러도 자꾸 '결제를 위힌 요청 처리중 오류가 발생하였습니다. 잠시 후 다시 시도해 주세요.' 라고 에러떠요. 저는 S10_5G(안드로이드11버전) 사용자입니다"
