,DATE,STAR,LIKE,REVIEW
17,2021-3-4,별표 5개 만점에 2개를 받았습니다.,1,유심칩에 있는 개안정보를 인증의 도구로 활용하기에 한기기에 페이앱과 유심이 동시에 탑재 설치되어야 인증이 되는 구조임. 카톡 기기와 통화가능 유심탑재기기가 불리된 경우엔 사용이 불가함을 확인(제가 더이상 특이한 경우가 아닌 상황이 곧 올거임) 멀티 디바이서 드림^^
18,2021-4-6,별표 5개 만점에 1개를 받았습니다.,0,태블릿에서 은행 어플도 사용가능한데 카카오페이는 아무 것도 안되네요. 국내 대표 IT 플랫폼임에도 카카오톡을 비롯한 기기 접근성이 떨어진다는 건 좀 아이러니한 거 같습니다.
19,2021-2-15,별표 5개 만점에 1개를 받았습니다.,1,뭐가 바뀌긴 했는데.... 주식 계좌 추가할 때 공동인증서 등록증 화면에서 무한 대기.... 진행이 안 되는데요. 이 문제는 작년에도 있었음.
20,2021-3-29,별표 5개 만점에 1개를 받았습니다.,2,몇일만에 들어가는데 로그아웃 되어있네여 그리고 다시 로그인하려고하니까 네트워크문제라고하는데 인터넷 잘 되는데 무슨 소리인지 얼른 조치 바랍니다
21,2021-3-18,별표 5개 만점에 2개를 받았습니다.,8,"요즘 카카오페이 기능 중지가 너무 많아서 제대로 사용되고 있는 기능이라고는 투자,사용 기능 뿐이네요... 무슨 돈빼가는건 전부 다되는데 자산을 조회못한지 42일이라고 뜨는데...토스로 갈아탈까 진지하게 고민중입니다."
22,2021-3-17,별표 5개 만점에 1개를 받았습니다.,4,아들이 차비 하라고 2만원을 페이로 보내 줬는데 기존계정이 있다고 기존 계정 으로 로그인 하라고 하는데요 몇년전에 잠깐 며칠 사용 하고 안쓰고 있었고 그동안 핸드폰을 여러번 바꾸고 또 카카오톡 계정도 여러번 바뀌어서 기존 계정을 찾을수가 없어요 이럴땐 어떻게 해야 하나요? 아들이 보내준 2만원 어떻게 찾을수 있나요?
23,2021-2-22,별표 5개 만점에 1개를 받았습니다.,4,기존 가입정보와 상이하여 이용이 불가합니다. 라고 뜨면서 본인인증이 안돼네요. 내 정보에서 확인을 해봤지만 도저히 해답이 안나오네요
24,2021-3-15,별표 5개 만점에 1개를 받았습니다.,1,어플에 오류가 있음에도 개발자와 서비스담당자들이 인식을 못하고 있음. 내부QA팀이 없는지 증상을 유선으로 설명하였음에도 확인을 어려워함.
25,2021-2-19,별표 5개 만점에 1개를 받았습니다.,3,"자꾸 알림으로 제가 쓰는 카카오뱅크가 휴면계좌로 전환될 예정이라고 하는데, 왜 그러는 건가요? 최근 2월 3일 카카오뱅크로 송금함 적이 있는데도 휴면계좌로 전환될 예정이라는 알림이 왔습니다. 그 알림을 눌러도 잘못된 접근이라고 찾을 수 없다 하고... 오늘 7일 뒤에 휴면계좌로 전환될 예정이라고 또 알림 왔습니다.. 왜 거래내역이 있는데도 휴면계좌로 전환될 예정이라는지 알려주세요.. +카카오뱅크 앱에서는 그런 알림조차 안 와요ㅜㅜ 카카오페이 앱에서 날라온다구용...ㅠㅠㅠㅠㅠ"
26,2021-2-25,별표 5개 만점에 1개를 받았습니다.,1,원래 쓰지도 않던거 카카오페이로 병무청 문서 날아와서 카카오톡으로 카카오페이 공인인증서도 다 만들었더니 정작 문서는 다운로드 안되고 인터넷 페이지만 넘어가면서 감사합니다. 이러는데 속터지네요. 카카오페이 어플을 설치해서 하면 앱으로보기 이런거 뜨면서 해결될 줄 알고 어플 깔아서 했더니 아무것도 해결 안되고 용량만 먹고 쓸떼없는 절차만 했네요. 제 기억에는 악성코드를 제외하면 최악의 어플로 남을 것 같습니다. 별 하나도 아깝네요.
27,2021-3-5,별표 5개 만점에 1개를 받았습니다.,1,결제사이트에서 카카오톡으로 페이바로연결되는것 삭제해주세요. 본계정 페이 가입 불가능하다고해서 다른계정으로 페이사용해야하는데 다른계정으로 로그인할수가 없네요. 카톡 바로연결말고 카톡 로그인창이 뜨게 해주세요 선택할수라도있게 부탁드립니다
28,2021-3-16,별표 5개 만점에 5개를 받았습니다.,4,카카오페이도 결제수단으로서 꽤나 쓸만합니다. 범용성이 좋죠. 삼성페이랑 조금 비교되지만..나쁘다고는 못하겠네요.
29,2021-2-14,별표 5개 만점에 3개를 받았습니다.,1,"계좌송금시, 금액부터 적는게 아니라 받을사람 계좌정보부터 쓰고 확인한 후에 보낼 금액 적으면 오송금으로 인한 불편을 줄일 수 있을거라 생각됩니다."
30,2021-3-18,별표 5개 만점에 1개를 받았습니다.,1,삭제할까 해요. 카카오페이에 충전을 했지만 사용 가능한 가맹점이 너무 적어서 무용지물 인것 같아요. 홈플러스에서도 불가 Impasibil 카카오페이 앱이나 접근성이나 사용방법은 매우 편리하게 잘 돼 있어서 더욱 아쉬움이 남네요
31,2021-1-30,별표 5개 만점에 1개를 받았습니다.,6,기존 계정으로 로그인 되어 있어도 카드관리로 가면 자꾸 제한이 됩니다 탈퇴하려고 카카오 페이 홈페이지와 안내사항 다 따라해도 로그인 되어 있는 계정으로 로그인하라는 이상한 문구만 뜹니다
32,2021-3-14,별표 5개 만점에 3개를 받았습니다.,8,"안녕하세요 카카오페이 사용중에 비밀번호를 잊어버려서 계정으로 인증 받고 문자메세지를 받아야하는데 문자가 계속 안오네요.. 오늘이 쉬는날인가? 해서 매일 계속 시도해봤는데 3분이 지나서 재전송을 눌러도 계속 안오더라구요 비번을 기억하지 못한 제 잘못이 더 크지만, 가능하면 이 문제 빨리 해주시면 좋겠습니다."
33,2021-2-21,별표 5개 만점에 1개를 받았습니다.,1,카카오뱅크 간편연결을 누를 때마다 일시적으로 연결이되지 않는다고 뜨네요. 이러면 제가 굳이 카카오뱅크나 카카오페이를 같이 깔 이유조차 없는데 대체 연동이 안되는건 어떻게 되먹은건가요
34,2021-1-29,별표 5개 만점에 1개를 받았습니다.,8,구글플레이 결제 연동이 되지 않음. 최신버젼이고 설치되어있음에도 불구하고 자꾸 설치 or 업데이트를 하라고 나옴. 아마도 원스토어에서 카카오톡을 살치해서 그런거 같긴 함
35,2021-1-30,별표 5개 만점에 1개를 받았습니다.,2,"카카오페이이면서도 카카오뱅크와의 호환성이 떨어지는 건 뭡니까? 카카오뱅크 미니 사용 중인 사람입니다만, 아무리 카카오뱅크 미니가 선불전자지급수단이라 예금자 보호도 되지 않는 계좌라고 해도 그렇지 다른 페이앱이면 몰라도 카카오페이에서만큼은 카카오뱅크 미니의 계좌가 등록될 수 있게끔 되어야 하는 것이 아닐까요? 미니 계좌가 등록되어 있었다면 돈을 모아놓고 있는 저축용 국민은행 계좌에서 돈이 빠져나갔을 일이 없었을겁니다. 결제 취소시키고 다시 계좌에 돈 넣어놓느라 고생을 좀 했습니다;; 여기에는 카카오페이가 페*코같은 여타 다른 페이 앱...전체 리뷰"
36,2021-2-9,별표 5개 만점에 1개를 받았습니다.,5,자산조회 서비스가 기약없이 멈춘 상태입니다. 새로 설치하려는 분들 참고하세요. 있다 없으니 매우매우 불편합니다.
37,2021-3-4,별표 5개 만점에 1개를 받았습니다.,0,탈퇴하고 다시 만들려고 다해지해서 탈퇴가능하다고 떠서 탈퇴하기 누르면 정기결제 등록된게 있다면서 탈퇴가안되는데 머가되있는지 알려주고 해지 를 하라고 하는게 맞는거같은데 탈퇴 도못하고 가입못해서 페이로보내준 돈도 못받고있네요 이런점 너무 불편하네요 결국 아침까지 기다렸다가 고객센터에 전화하는방법 뿐인가요?
